Group,SSP,X,CDF
North America,SSP1-2.6,1,0.13203463203463203
North America,SSP1-2.6,1,0.1331168831168831
North America,SSP1-2.6,1,0.1341991341991342
North America,SSP1-2.6,1,0.13528138528138528
North America,SSP1-2.6,1,0.13636363636363635
North America,SSP1-2.6,1,0.13744588744588745
North America,SSP1-2.6,1,0.13852813852813853
North America,SSP1-2.6,1,0.1396103896103896
North America,SSP1-2.6,1,0.1406926406926407
North America,SSP1-2.6,1,0.14177489177489178
North America,SSP1-2.6,1,0.14285714285714285
North America,SSP1-2.6,1,0.14393939393939395
North America,SSP1-2.6,1,0.14502164502164502
North America,SSP1-2.6,1,0.1461038961038961
North America,SSP1-2.6,1,0.1471861471861472
North America,SSP1-2.6,1,0.14826839826839827
North America,SSP1-2.6,1,0.14935064935064934
North America,SSP1-2.6,1,0.15043290043290045
North America,SSP1-2.6,1,0.15151515151515152
North America,SSP1-2.6,1,0.1525974025974026
North America,SSP1-2.6,1,0.15367965367965367
North America,SSP1-2.6,1,0.15476190476190477
North America,SSP1-2.6,1,0.15584415584415584
North America,SSP1-2.6,1,0.15692640692640691
North America,SSP1-2.6,1,0.15800865800865802
North America,SSP1-2.6,1,0.1590909090909091
North America,SSP1-2.6,1,0.16017316017316016
North America,SSP1-2.6,1,0.16125541125541126
North America,SSP1-2.6,1,0.16233766233766234
North America,SSP1-2.6,1,0.1634199134199134
North America,SSP1-2.6,1,0.1645021645021645
North America,SSP1-2.6,1,0.16558441558441558
North America,SSP1-2.6,1,0.16666666666666666
North America,SSP1-2.6,1,0.16774891774891776
North America,SSP1-2.6,1,0.16883116883116883
North America,SSP1-2.6,1,0.1699134199134199
North America,SSP1-2.6,1,0.170995670995671
North America,SSP1-2.6,1,0.17207792207792208
North America,SSP1-2.6,1,0.17316017316017315
North America,SSP1-2.6,1,0.17424242424242425
North America,SSP1-2.6,1,0.17532467532467533
North America,SSP1-2.6,1,0.1764069264069264
North America,SSP1-2.6,1,0.1774891774891775
North America,SSP1-2.6,1,0.17857142857142858
North America,SSP1-2.6,1,0.17965367965367965
North America,SSP1-2.6,1,0.18073593073593072
North America,SSP1-2.6,1,0.18181818181818182
North America,SSP1-2.6,1,0.1829004329004329
North America,SSP1-2.6,1,0.18398268398268397
North America,SSP1-2.6,1,0.18506493506493507
North America,SSP1-2.6,1,0.18614718614718614
North America,SSP1-2.6,1,0.18722943722943722
North America,SSP1-2.6,1,0.18831168831168832
North America,SSP1-2.6,1,0.1893939393939394
North America,SSP1-2.6,1,0.19047619047619047
North America,SSP1-2.6,1,0.19155844155844157
North America,SSP1-2.6,1,0.19264069264069264
North America,SSP1-2.6,1,0.1937229437229437
North America,SSP1-2.6,1,0.19480519480519481
North America,SSP1-2.6,1,0.1958874458874459
North America,SSP1-2.6,1,0.19696969696969696
North America,SSP1-2.6,1,0.19805194805194806
North America,SSP1-2.6,1,0.19913419913419914
North America,SSP1-2.6,1,0.2002164502164502
North America,SSP1-2.6,1,0.2012987012987013
North America,SSP1-2.6,1,0.20238095238095238
North America,SSP1-2.6,1,0.20346320346320346
North America,SSP1-2.6,1,0.20454545454545456
North America,SSP1-2.6,1,0.20562770562770563
