Region,Title,Category,SSP,Value
Asia,f. Asia (866),0~25,SSP1-2.6,66.4
Asia,f. Asia (866),25~50,SSP1-2.6,10.3
Asia,f. Asia (866),50~75,SSP1-2.6,2.2
Asia,f. Asia (866),75~100,SSP1-2.6,0.8
Asia,f. Asia (866),>100,SSP1-2.6,0.1
Asia,f. Asia (866),<0,SSP2-4.5,11.6
Asia,f. Asia (866),0~25,SSP2-4.5,64.4
Asia,f. Asia (866),25~50,SSP2-4.5,16.1
Asia,f. Asia (866),50~75,SSP2-4.5,4.6
Asia,f. Asia (866),75~100,SSP2-4.5,1.4
Asia,f. Asia (866),>100,SSP2-4.5,1.8
Asia,f. Asia (866),<0,SSP3-7.0,10.6
Asia,f. Asia (866),0~25,SSP3-7.0,60.6
Asia,f. Asia (866),25~50,SSP3-7.0,13.8
Asia,f. Asia (866),50~75,SSP3-7.0,6.3
Asia,f. Asia (866),75~100,SSP3-7.0,4.8
Asia,f. Asia (866),>100,SSP3-7.0,3.9
Asia,f. Asia (866),<0,SSP5-8.5,8.1
Asia,f. Asia (866),0~25,SSP5-8.5,49.1
Asia,f. Asia (866),25~50,SSP5-8.5,21.0
Asia,f. Asia (866),50~75,SSP5-8.5,8.1
Asia,f. Asia (866),75~100,SSP5-8.5,4.2
Asia,f. Asia (866),>100,SSP5-8.5,9.4
Oceania,g. Oceania (781),<0,SSP1-2.6,22.3
Oceania,g. Oceania (781),0~25,SSP1-2.6,65.0
Oceania,g. Oceania (781),25~50,SSP1-2.6,6.8
Oceania,g. Oceania (781),50~75,SSP1-2.6,2.8
Oceania,g. Oceania (781),75~100,SSP1-2.6,0.4
Oceania,g. Oceania (781),>100,SSP1-2.6,2.7
Oceania,g. Oceania (781),<0,SSP2-4.5,14.7
Oceania,g. Oceania (781),0~25,SSP2-4.5,58.2
Oceania,g. Oceania (781),25~50,SSP2-4.5,10.8
Oceania,g. Oceania (781),50~75,SSP2-4.5,5.3
Oceania,g. Oceania (781),75~100,SSP2-4.5,6.8
Oceania,g. Oceania (781),>100,SSP2-4.5,4.2
Oceania,g. Oceania (781),<0,SSP3-7.0,6.6
Oceania,g. Oceania (781),0~25,SSP3-7.0,60.1
Oceania,g. Oceania (781),25~50,SSP3-7.0,11.9
Oceania,g. Oceania (781),50~75,SSP3-7.0,2.8
Oceania,g. Oceania (781),75~100,SSP3-7.0,0.4
Oceania,g. Oceania (781),>100,SSP3-7.0,18.2
Oceania,g. Oceania (781),<0,SSP5-8.5,7.3
Oceania,g. Oceania (781),0~25,SSP5-8.5,55.2
Oceania,g. Oceania (781),25~50,SSP5-8.5,10.4
Oceania,g. Oceania (781),50~75,SSP5-8.5,5.5
Oceania,g. Oceania (781),75~100,SSP5-8.5,2.3
Oceania,g. Oceania (781),>100,SSP5-8.5,19.4
Global,h. Global (9592),<0,SSP1-2.6,23.4
Global,h. Global (9592),0~25,SSP1-2.6,61.8
Global,h. Global (9592),25~50,SSP1-2.6,10.5
Global,h. Global (9592),50~75,SSP1-2.6,2.9
Global,h. Global (9592),75~100,SSP1-2.6,0.7
Global,h. Global (9592),>100,SSP1-2.6,0.6
Global,h. Global (9592),<0,SSP2-4.5,16.1
Global,h. Global (9592),0~25,SSP2-4.5,49.0
Global,h. Global (9592),25~50,SSP2-4.5,21.5
Global,h. Global (9592),50~75,SSP2-4.5,6.2
Global,h. Global (9592),75~100,SSP2-4.5,3.3
Global,h. Global (9592),>100,SSP2-4.5,3.8
Global,h. Global (9592),<0,SSP3-7.0,13.5
Global,h. Global (9592),0~25,SSP3-7.0,38.8
