Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
1,his,P0,3.225423791042113,3.658450549541333,3.3841840586750207,2.892495194570016,3.925741221878552
1,ssp126,P1,3.7175305671213685,4.27451929441933,4.034198400282866,3.2810437227377265,4.821798072144235
1,ssp126,P2,4.476600329295212,4.803999651869036,4.584535501758004,4.084112269675099,5.232314724271024
1,ssp126,P3,4.569074019549528,4.943890325693288,4.790157839638354,4.426666902609247,5.145249570412668
1,ssp126,P4,4.517230169918313,4.774195337820869,4.6566090917202,4.2189404895973786,5.148886397282364
1,ssp245,P1,3.8753849219803316,4.283718156343352,4.01904559507759,3.415059132365771,4.72779176844582
1,ssp245,P2,4.313647607694239,4.8210190520329395,4.637237913064742,3.7981762253152507,5.495950187696619
1,ssp245,P3,5.042385479287281,5.819174488130172,5.622659214648267,4.6215559441668645,5.986916327623127
1,ssp245,P4,5.930369567868189,6.349935014011156,6.16790509226214,5.574468509265868,6.962328192825231
1,ssp370,P1,3.6734489200835383,4.134157043249531,3.9452747187855235,3.33006003317736,4.7101941847093345
1,ssp370,P2,4.566977591568191,5.101778130865519,4.891536920387553,3.9895799911438923,5.78145037407143
1,ssp370,P3,5.8812086684114515,6.785201862095858,6.4753688383958545,5.307704829883416,7.237878431411428
1,ssp370,P4,7.785999598666297,8.664760080266738,8.267231908425199,6.5187338646998185,9.786258910302164
1,ssp585,P1,3.695965521485976,4.410430029971978,4.095410919449071,3.422235588997277,4.871362820207788
1,ssp585,P2,5.021749190558332,5.954566824292172,5.342072256258757,4.460494437174505,6.3351598613424285
1,ssp585,P3,6.862545917928992,8.48240071113226,7.748511785893674,5.845966516641552,9.421459622756233
1,ssp585,P4,10.343763656746503,11.890731550050228,11.095679978917175,8.472924245909008,12.271399499695983
2,his,P0,2.1656424906895495,2.495326711395224,2.3011846297576084,1.6853543288796744,2.961080807673603
2,ssp126,P1,2.8229525278993575,3.1680900502956315,3.0350769497555605,2.3769704957895006,3.3727642126750106
2,ssp126,P2,3.43477932488034,3.8618108703511735,3.743886413140853,3.0805276274028004,4.046185045048504
2,ssp126,P3,3.8014660680462775,4.158720695116332,3.9559815224346666,3.511522347001459,4.595593620901483
2,ssp126,P4,3.8778349612224527,4.366131223284445,4.217090973661982,3.561707226317541,4.831969429087
2,ssp245,P1,2.627763430885101,3.0792088873211494,2.8800360516010137,2.3423247856356704,3.6044965919271035
2,ssp245,P2,3.6304229083480513,4.05933451105736,3.747385143912053,3.1778945225114543,4.577546970104175
2,ssp245,P3,4.227557342938136,4.865213922003378,4.50018597289411,4.05954806496199,5.604603029895826
2,ssp245,P4,5.260825687405616,5.720134197509534,5.483056477962068,4.990889963910005,6.130726548542323
2,ssp370,P1,2.5022094318705363,3.0904110658386443,2.9169586433617445,2.1142022562645573,3.4485354648186544
2,ssp370,P2,3.292005238808262,4.302349670774784,3.8553477203793287,2.9235698162225807,4.628065406716322
2,ssp370,P3,4.813370550020476,5.87198347890911,5.329385675023676,3.891800300110062,6.303411352350969
2,ssp370,P4,6.704672422988814,7.821884605921575,7.040984859799329,5.5907547089764265,9.178944677365685
2,ssp585,P1,2.671870723751568,3.367593881338145,2.9850864489748905,2.2542485640789374,3.614294674806112
2,ssp585,P2,3.9485261150144613,4.861652210992092,4.372269567304,3.439883914996545,5.5099201579257215
2,ssp585,P3,6.168558534899792,7.413830480847987,6.45069570727431,4.890497353400394,8.29130470257749
2,ssp585,P4,9.627026002553174,11.745776457677444,10.31253176207479,7.775760409787812,12.519945832373494
3,his,P0,35.35594287770175,36.99446177772347,36.086505138753125,33.206750491473876,38.63393959487346
3,ssp126,P1,38.29991973498425,40.183165278456606,39.184387639839244,36.68202967850548,41.56553977951558
3,ssp126,P2,37.64538116310959,39.60522643233409,38.67889544639948,36.10421925980232,40.72002546975128
3,ssp126,P3,39.244939053166064,40.12114993686869,39.660055694037155,38.5344920142283,40.70561549093081
3,ssp126,P4,37.7940959928587,39.35145184981536,38.576650513196476,36.38143626859998,40.49370416802433
3,ssp245,P1,38.33224241609645,40.83169680270447,39.66175050369284,35.659490336157276,43.6145846068209
3,ssp245,P2,39.86386625665254,41.85322393084066,40.49696483925274,38.82444913109591,42.72489150103182
3,ssp245,P3,41.29060135630499,42.77958992750082,42.250278766156185,40.63593578255675,44.662096833930704
3,ssp245,P4,43.18619450214511,44.646681102693606,43.79228952834799,41.45746677527968,46.1084389540567
3,ssp370,P1,38.66024444648094,41.308509436434235,39.68002877701748,36.70084843597263,44.03859181872488
3,ssp370,P2,41.40914236925709,43.04397526067123,42.51073277669165,39.54765679645922,44.99431534158792
3,ssp370,P3,45.126683061800804,47.302618090175955,46.226899664657324,43.420318632562186,49.793058781362014
3,ssp370,P4,46.53044778565222,48.92297557157597,48.23869968094928,43.15111693548387,52.466689787661565
3,ssp585,P1,38.737954192462254,40.32395061094819,39.60001587107635,36.66581026121429,42.65019784946236
3,ssp585,P2,42.419826239546,44.9915036948789,43.8737356535788,40.89656856196372,47.74041366351689
3,ssp585,P3,45.51621663408277,48.053365114858266,46.861951606114914,42.00609623112848,50.96089216628652
3,ssp585,P4,49.20433744229934,52.41386551061692,50.71775008960573,47.88319376561312,53.35334616867601
4,his,P0,14.276814815563943,16.774501493767232,15.224373151144672,13.21962927304327,20.070450979863356
4,ssp126,P1,16.673703044468414,19.27187881457509,18.153805564545127,15.80965639757881,19.756619986815295
4,ssp126,P2,17.700948475518402,18.944622512135922,18.262394902912625,16.24646806903991,20.312699706340645
4,ssp126,P3,18.41713937282752,20.567511254944264,19.476941032901834,17.10050409325183,22.78201660074314
4,ssp126,P4,17.56648856376603,19.450290213352513,18.321345881277722,15.900738981781135,22.181820103679726
4,ssp245,P1,17.50595479968237,19.64469492988134,18.742393735766512,15.469135442886252,21.975762138918853
4,ssp245,P2,19.684093295277478,22.791878480462664,20.83518641675656,17.957045559151386,23.59336011326861
4,ssp245,P3,21.47110888843941,23.182376230073118,22.359321465599905,19.162201216588755,24.685975797075393
4,ssp245,P4,23.062739736905186,26.3112491617224,25.196473477765792,21.98229712034041,29.127517517679493
4,ssp370,P1,16.86798780414719,18.387954461075154,17.49955913340525,16.29000749730313,19.562345777897644
4,ssp370,P2,21.43413044468417,22.57195283845739,21.994601429341966,19.861059295217547,23.927366462903034
4,ssp370,P3,25.32155993647369,27.07781049157977,26.30138155639458,23.5963242149107,29.51503738763035
4,ssp370,P4,28.9240686099125,31.443711641495863,30.270357579707536,27.10369588277598,34.10741370909744
4,ssp585,P1,17.126778431020014,19.643887712753205,18.875893094510367,15.515466957329497,21.02791277418195
4,ssp585,P2,21.682347590794677,25.483883684675774,23.770017784370133,20.355574409684767,27.4460068081026
4,ssp585,P3,26.853306730192976,31.061187550191775,30.118586890207357,23.134367952175477,33.99508287486516
4,ssp585,P4,34.40151346038595,39.601523129419874,37.27449545277478,32.118830378760634,41.77916274122018
5,his,P0,4.810470726613844,5.244069188010565,5.0546774269086665,4.625537526871813,5.773916505435784
5,ssp126,P1,5.82528522856397,6.456813532645415,6.120165115011363,5.429523172716665,7.391906464590626
5,ssp126,P2,5.935572009934893,6.502212721884405,6.043336632424298,5.434721316258215,7.1227383944475156
5,ssp126,P3,6.143189668939255,6.594365403691419,6.389900939745717,5.8738228825010745,7.25304723450648
5,ssp126,P4,5.598271852926724,6.249062554895277,5.908290984122597,5.206698791536146,6.546566020207603
5,ssp245,P1,5.831324303252257,6.365592654781647,6.128445163073521,5.088653006572078,7.049039340335361
5,ssp245,P2,6.327076018441742,7.384385205530987,6.777256096830661,6.033312873902094,8.03192425066028
5,ssp245,P3,7.314478136708434,7.930876100976599,7.585870456360174,6.894187408635833,8.334299110926848
5,ssp245,P4,8.037243623702475,8.456937617852098,8.223302603494872,7.424375073705547,8.743898020698975
5,ssp370,P1,6.031446197638351,6.488656426586204,6.106168209876543,5.7623473220318155,7.048115201768932
5,ssp370,P2,7.470631299137031,8.29948250836865,7.747395248295559,7.060293880904121,9.520478800442232
5,ssp370,P3,10.131154649591547,11.072691551117867,10.275742449020331,9.167733072292856,11.87955667495854
5,ssp370,P4,12.209873515908114,14.149499956621217,12.935326697530865,11.219823095940052,15.799337717277812
5,ssp585,P1,6.062875514019409,6.731513749155457,6.444990798323198,5.333308557521036,7.652205796634115
5,ssp585,P2,7.414500653368957,8.693976320557706,8.27323514526135,6.877606297217616,9.605659818192985
5,ssp585,P3,10.713247767336158,11.683648815720778,11.206843946932006,9.857882232356735,12.744736943369572
5,ssp585,P4,14.272083051179289,17.479742017151892,16.51847956590504,12.420200279466863,19.151426813463548
6,his,P0,42.187374739683456,44.370495136485964,43.15149745290273,40.857541660258875,45.285774493784444
6,ssp126,P1,46.293185683391,48.04040841022683,47.550741110790725,45.15579793348713,49.93890246699987
6,ssp126,P2,45.69781061370627,49.35104274077278,47.493745263039855,44.53519665513264,51.40537311610919
6,ssp126,P3,47.23892090462002,49.85782115051904,48.117438720684355,44.351660249263105,50.44378385877227
6,ssp126,P4,48.16600841102781,49.31240648788928,48.69721942361912,47.94706773356402,50.14968577790593
6,ssp245,P1,44.98114061979367,48.844717603005265,45.65201716647443,42.67248324362425,52.579878748558244
6,ssp245,P2,49.136640248141745,51.52056466262976,50.45946360854799,47.74754121171344,52.166785579264385
6,ssp245,P3,52.47552817265795,55.84387556228374,54.49339180924004,50.147890391516086,58.29583681917212
6,ssp245,P4,54.56034421056004,58.58659371155325,56.7908770504934,51.397687908496735,62.21589273676791
6,ssp370,P1,45.501428895136485,47.660019125656795,46.88649142957837,43.79808362809176,49.58762333397411
6,ssp370,P2,51.538368754004864,54.98828287757913,52.55165306612841,47.16987943098808,57.00257304241958
6,ssp370,P3,56.619886425092915,59.328453644431626,57.85184714372676,53.902002396514156,62.719068778034085
6,ssp370,P4,62.14473248430091,65.60961686370626,63.46573459086249,57.31798670062797,68.82059301230296
6,ssp585,P1,45.968859694989106,48.69020263119954,47.63073816160451,43.567115327438174,51.13244401832628
6,ssp585,P2,52.18196061130334,56.00735810745867,54.68280141772395,49.00802500320389,59.86915608419838
6,ssp585,P3,57.58908030805459,62.41224238273742,60.36119769159298,54.624152572728434,68.76258585479944
6,ssp585,P4,67.16410181500704,71.58212363754325,69.26263728533897,65.46166957580418,75.47659529027298
7,his,P0,34.62204187321937,36.322201103988604,35.57389499287749,33.42729854985755,37.001868452991445
7,ssp126,P1,35.397011480056975,36.65170515669516,35.953441579772075,33.84633862962963,38.324895470085465
7,ssp126,P2,35.9720406531339,38.01031337250712,37.1310922962963,34.73147633618233,39.294031544159544
7,ssp126,P3,36.57832418233619,37.908268147435905,37.200225138176634,35.43712425641026,38.97628481196581
7,ssp126,P4,36.35630123860399,37.30950736253561,36.626235165242164,35.07738338176638,38.366612068376064
7,ssp245,P1,35.39142199928774,38.26973212606838,36.651237903133904,34.207926165242164,40.36591705698006
7,ssp245,P2,40.15183056837607,41.65602835897437,41.03776203276353,38.49750971794872,43.56401855840456
7,ssp245,P3,43.448925937321945,44.56138573575499,43.87504774501424,41.970896116809115,46.12203495441595
7,ssp245,P4,43.02125900712251,45.10516948361823,44.5984227934473,41.02361883475784,46.89555243019943
7,ssp370,P1,36.52099881125356,39.44671271082621,38.42935494871794,34.01315155840455,40.31878957549858
7,ssp370,P2,41.73173453062678,44.55252094088319,43.85091445441596,39.50780715669515,45.88562879772079
7,ssp370,P3,47.86310689529915,52.328659969373234,51.02216721652421,46.03932383190883,54.571106364672374
7,ssp370,P4,56.47165128988605,60.738020245726496,58.41283542165242,54.41738255270656,64.22440476638177
7,ssp585,P1,37.24303565954416,40.6648830982906,38.24270145441595,35.57499631908832,44.10470545584045
7,ssp585,P2,43.700520957264956,47.03929625427351,45.03078075641026,40.95065636752136,50.142011233618234
7,ssp585,P3,52.42797282549858,56.85327278846154,54.7310529031339,48.94740707692308,59.672762968660976
7,ssp585,P4,65.00589305626781,71.30657390527064,67.10872206125356,61.7615123048433,73.12920161253561
8,his,P0,46.52486840633903,49.609543782051276,48.30414753739316,45.647923571937326,52.71836467948719
8,ssp126,P1,49.12476457621082,52.35896555466524,50.84216423611111,46.22015774928775,54.77350311253561
8,ssp126,P2,51.314468504273506,54.38716538283475,53.31722189102564,48.08008036680913,57.96714597934473
8,ssp126,P3,51.41720775284901,53.94466800302707,52.69713229878917,48.40917759615384,57.08639629985755
8,ssp126,P4,50.05365122240028,51.67004251691594,51.030314205840455,49.12742366096866,53.204888646723646
8,ssp245,P1,49.18453669248575,52.452790919693726,50.98727083689458,47.29908027065527,54.87893349002849
8,ssp245,P2,54.551307299679486,58.92403770388176,57.858098181980054,52.88261110042735,61.54564016381766
8,ssp245,P3,61.365832918447296,64.39578048165954,62.52068604522792,58.83014898148148,65.71314243233618
8,ssp245,P4,61.783240716702274,66.76743447382478,63.43432234330484,57.44817024216524,69.13732644586895
8,ssp370,P1,49.96119349269944,55.52184442663818,52.67811206196581,43.945200648148145,58.313258632478636
8,ssp370,P2,58.3098572738604,63.99483752403845,62.88506950676638,53.607598632478634,69.3699261574074
8,ssp370,P3,70.6034681650641,77.22651003116096,73.77614527065526,65.84149888176638,79.60258086538462
8,ssp370,P4,83.4452215037393,88.95730052261395,85.08694542022792,75.90239836538463,93.80545422720797
8,ssp585,P1,52.22901242165241,58.86936908030627,54.29894532763532,48.567486816239324,65.46173996438746
8,ssp585,P2,63.64766153044872,68.54090887108262,66.76918197115386,58.142081406695155,74.7816077920228
8,ssp585,P3,77.11660271456554,86.54729402510682,81.54081313746438,73.027679002849,91.75049070868945
8,ssp585,P4,96.65664870548433,107.07657868144587,100.68485066951567,92.15389642806267,109.30482517094016
9,his,P0,34.609185493827155,35.55143569927859,35.06719844005652,34.193564019039115,36.3645129220586
9,ssp126,P1,35.62982778149636,37.03658230793545,36.21711217276514,34.42029631117061,37.59949101591551
9,ssp126,P2,36.92646176372155,37.822080679198265,37.205541017774806,35.586910787594825,38.21533215454411
9,ssp126,P3,37.20752052840994,37.94881534192325,37.711117694853485,36.37027689647479,38.79461197010263
9,ssp126,P4,36.96370079298676,38.006486757214034,37.44536916183252,35.47327220734791,39.04054639297932
9,ssp245,P1,36.55260703926818,38.23382810966086,37.443302363156334,35.30851323441915,38.88427287669195
